author,comment,likes,published_at
@qpwoeiruty108,"Avatar 3 barely getting $1,5 billion box office, but this movie will get $3 billions.",0,2026-02-04T17:06:53Z
@Tmmg.8043,Hopefully he's been eating his Wheaties and drinking his Ovaltine...,1,2026-02-04T16:54:21Z
@WinstonSmithGPT,Boring,0,2026-02-04T16:38:00Z
@RolandSRodriguez,Love and Thunder really did a number on this character. Would have been better to pretend the kid never existed.,0,2026-02-04T15:19:16Z
@CleophasDaniel-w2g,Marvel is Cooking Something Big 🥶,0,2026-02-04T14:31:56Z
@Agustin-s9d,"Cinema, untie us from this crazed world.",0,2026-02-04T13:22:16Z
@OMGgubbyissocool,this man has gone thru enough just let him rest,0,2026-02-04T13:07:14Z
@diemoon1703,Was it really so difficult for you Taika Waititi to make him so?,0,2026-02-04T11:07:06Z
@adidev.a7520,Hey marvel i have an idea when thor is about to die make a scene about 10-20 sec that he remembering his whole life the scene that he entering in wakanda... It would a great ending for him,1,2026-02-04T05:00:56Z
@sergiom1136,"3rd February 2026
10 months and 14 days to Doomsday ⚡",0,2026-02-04T01:45:07Z
@jjboi5060,El Chapulín Colorado will return in avengers doomsday,1,2026-02-04T00:55:08Z
@MMMPIZZA76,So that I may fight once more. Defeat one more enemy.,0,2026-02-03T18:59:14Z
@dianeboatswain2755,Fat Drunk Thor Gone! Yay!🤭,0,2026-02-03T18:58:07Z
@Blackdevil51d,Shaktimaan will return in Avengers Doomsday,0,2026-02-03T16:53:51Z
@leerodriguez509,Crazy is he will die in this movie,0,2026-02-03T13:04:24Z
@HMeditz-f6l,"W trailer
W channel 
W collab 
And soon a w Movie",1,2026-02-03T07:26:07Z
@Phonkreaction7,0:45  🗿,2,2026-02-03T05:00:11Z
@AftermathArc,Doomsday is upon us.,0,2026-02-03T02:13:13Z
@McDerpSki,Seeing this as I found out ima be a father last week. I can’t stop watching this trailer. Thors prayer hits like home,0,2026-02-03T00:54:59Z
@LeRéveilMental,So this movie will be over 2 hours long... apparently? Because I'd really like that.,1,2026-02-03T00:53:23Z
@untilthewheelsfalloff1751,Guess we will see if Disney warp wokes this up or will it bring marvel back? These characters got a perfect send off but then Disney got desperate.,0,2026-02-03T00:34:40Z
@aboli_____king,❤,0,2026-02-02T23:30:05Z
@esteban1000000000,DumbsDay,0,2026-02-02T15:54:40Z
@MexNerd-P,Thor,0,2026-02-02T15:30:28Z
@jhameerconyers7133,0:38 ok the lighting and thunder in the background got me,0,2026-02-02T14:11:31Z
@BlueSkies925-c2v,🏆🏆🏆,0,2026-02-02T10:00:06Z
@thejackc,Can’t wait for the scene where he holds Deadpool and cries,0,2026-02-02T05:02:25Z
@sergiom1136,"1st February 2026
10 months and 16 days to Doomsday ⚡",4,2026-02-02T02:03:28Z
@rene.grondzi,If he will gain odins force he will be the most powerful bieng in the Marvel Universe,2,2026-02-01T21:49:31Z
@smurfign6730,It's so devotional.,0,2026-02-01T21:10:52Z
@AnimetaMorales-vq1wr,Turn around to Jesus today not tomorrow but today because tomorrow is not promised,0,2026-02-01T17:07:51Z
@GabrielleWieland-ve8xw,CHILLS,0,2026-02-01T14:15:45Z
@vzasymbiote,❤,0,2026-02-01T12:41:15Z
@neogyme34,Let me guess well have 0 mention of what happened in loki season 2 ?,0,2026-02-01T12:14:35Z
@edawgcisneros6482,Why the Batman voice,0,2026-02-01T09:06:35Z
@POP_rockGo5,Another Chris is back,0,2026-02-01T03:26:57Z
@sergiom1136,"31st January 2026
10 months and 17 days to Doomsday ⚡",1,2026-02-01T03:23:10Z
@hayk3000,0:35 The All-Father is only Odin though. Is the plural an error?,0,2026-01-31T22:36:04Z
@temujinspencer328,Thor turned into kratos.,2,2026-01-31T21:15:43Z
@mjmulenga3,This isn't Love and Thunder. This is Thor Odinsson himself! 🔥⚡,0,2026-01-31T19:58:20Z
@ayk5531,Christ Hemsworth played too much God of War and is now Kratos,2,2026-01-31T17:32:31Z
@vujoyt4495,Trailer better than movies,0,2026-01-31T15:02:34Z
@Thebundestagghost,les gooooooooooo,0,2026-01-31T14:24:26Z
@madhusmitapattnaik5695,I Think The Movie Will Emotional,0,2026-01-31T09:11:38Z
@BiggerK,See he's on his Kratos arch now,0,2026-01-31T06:54:51Z
@darkgameryt6071,"maybe his daughter gets  killed and then he 
gets other talk with odin and then he 
finds out that he's really stronger than odin 
and loki also helps him figth doom",0,2026-01-31T06:21:11Z
@DenG511,Interesting how he's holding Stormbreaker and not Mjolnir,0,2026-01-31T03:27:33Z
@aboli_____king,❤,1,2026-01-31T00:49:45Z
@aboli_____king,❤,1,2026-01-31T00:49:38Z
@aatif5442,The prayer sounds a lot like the same which Gorr was making for Love at the start of Love and Thunder for survival.,1,2026-01-30T22:11:01Z
@PLAYMEAUSSIE,"I can’t believe Avengers: Doomsday will be released on my birthday! 🎉🔥 I’m a huge Marvel fan—I’ve been watching all the Marvel shows over the years and I also collect many comic books. For my next birthday, I really hope we get to see Ghost Rider in Doomsday, played by Nicolas Cage! 🏍🔥",1,2026-01-30T21:28:58Z
@BernaKimaro,"""Are you sure you're up for this particular mission, yeah what else do I have to lose""",0,2026-01-30T20:23:42Z
@discipline_boyy,Wait for the our God of thunder destroy and won moment ❤,0,2026-01-30T14:28:02Z
@agabamelvin6970,"""the kind i never knew!"" Less goo",1,2026-01-30T11:59:43Z
@DabalXettri-gl3nm,Thor lovers are here,0,2026-01-30T11:08:26Z
@Adithhhh_3019,"""Omg Its Raganrok Thor📈💀""",0,2026-01-30T03:04:08Z
@owaiskhan3483,This is gonna be a generational event ❤️‍🔥❤️‍🔥❤️‍🔥,1,2026-01-30T02:54:52Z
@sergiom1136,"29th January 2026
10 months and 19 days to Doomsday ⚡",0,2026-01-30T02:38:56Z
@pabitrajana543,ARIJIT SINGH WILL RETURN IN AVENGERS DOOMSDAY❤,0,2026-01-30T02:37:32Z
@JaxonMahanRoscoe,Thor will die😢 come back after the movie is out and tell me if I am right,1,2026-01-30T00:38:26Z
@DieselEnglishMastiff,Apparently Doom is going to kill his adopted daughter and make Thor turn into Rune King Thor. Or at least that is what the talking heads online are saying.,1,2026-01-29T22:34:48Z
@LilMellow-f9i,You know it’s serious when a literal god is on his knees praying,1,2026-01-29T18:20:31Z
@Sam-231hmpd8,Heyy can anyone help me out with the homework for Avengers Doomsday? I've watched everything related to the Avengers but don't know anything about X-Men or Deadpool and I'm feeling kinda lost,0,2026-01-29T16:02:07Z
@MasterMartey,"Fat Thor was a BAD choice, he finally got serious.. only to get ridiculed - and ""Love and Thunder""...........",0,2026-01-29T14:36:57Z
@Chess_Pedia_BD,1:12 The secret code is - 1e: 17ber : 02020,1,2026-01-29T12:19:48Z
@J.AndresBarberyCueto,"Interesting how times change. Back when I was a teen, people complained Thor was becoming too serious, too well mannered by Avengers: Age of Ultron. This inspired the change in Thor: Ragnarok to try and make Thor more badass like Captain America was made badass in Captain America: The Winter Soldier. They made Thor escape the alley of seriousness for sure. Then Infinity War made him a real war hardened badass. Bro Thor in Endgame was unexpectedly funny and well made but then people complained Thor was becoming too clownish in Thor: Love & Thunder. Now we are back at serious Thor. Hopefully it is more of a Infinity War Thor. Interesting how times change.",1,2026-01-29T04:00:25Z
@drharshilzaveri810,"Flop

King movie will rule.",1,2026-01-29T01:32:59Z
@andrewdavidson8167,This is why taikai  should never direct another marvel movie,1,2026-01-29T00:14:19Z
@gingaddict,WHERE IS LOKI’S TRAILER?!?!?!??,0,2026-01-28T22:40:03Z
