comment,category
"avatar 3 barely getting 1,5 billion box office, but movie get 3 billions.",0
hopefully he eating wheaties drinking ovaltine...,1
boring,-1
love thunder really number character. would better pretend kid never existed.,1
marvel cooking something big,1
"cinema, untie u crazed world.",-1
man gone thru enough let rest,0
really difficult taika waititi make so?,-1
hey marvel idea thor die make scene 1020 sec remembering whole life scene entering wakanda... would great ending,1
3rd february 2026 10 month 14 day doomsday,-1
el chapuln colorado return avenger doomsday,-1
may fight more. defeat one enemy.,-1
fat drunk thor gone! yay!,-1
shaktimaan return avenger doomsday,-1
crazy die movie,-1
w trailer w channel w collab soon w movie,0
045,0
doomsday upon us.,-1
seeing found ima father last week. cant stop watching trailer. thor prayer hit like home,1
movie 2 hour long... apparently? id really like that.,1
guess see disney warp wokes bring marvel back? character got perfect send but disney got desperate.,1
,0
dumbsday,0
thor,0
038 ok lighting thunder background got,1
,0
cant wait scene hold deadpool cry,-1
1st february 2026 10 month 16 day doomsday,-1
gain odin force powerful bieng marvel universe,1
devotional.,1
turn around jesus today not tomorrow but today tomorrow not promised,-1
chill,0
let guess well 0 mention happened loki season 2 ?,1
batman voice,0
another chris back,0
31st january 2026 10 month 17 day doomsday,-1
035 allfather odin though. plural error?,-1
thor turned kratos.,0
isnt love thunder. thor odinsson himself!,-1
christ hemsworth played much god war kratos,-1
trailer better movie,1
le gooooooooooo,0
think movie emotional,1
see he kratos arch,0
maybe daughter get killed get talk odin find he really stronger odin loki also help figth doom,-1
interesting he holding stormbreaker not mjolnir,1
prayer sound lot like gorr making love start love thunder survival.,1
"cant believe avenger doomsday released birthday! im huge marvel fanive watching marvel show year also collect many comic books. next birthday, really hope get see ghost rider doomsday, played nicolas cage!",1
"sure youre particular mission, yeah else lose",1
wait god thunder destroy moment,1
kind never knew! less goo,1
thor lover,1
omg raganrok thor,0
gonna generational event,0
29th january 2026 10 month 19 day doomsday,-1
arijit singh return avenger doomsday,0
thor die come back movie tell right,0
apparently doom going kill adopted daughter make thor turn rune king thor. least talking head online saying.,-1
know serious literal god knee praying,1
heyy anyone help homework avenger doomsday? ive watched everything related avenger but dont know anything xmen deadpool im feeling kinda lost,-1
"fat thor bad choice, finally got serious.. get ridiculed love thunder...........",-1
112 secret code 1e 17ber 02020,0
"interesting time change. back teen, people complained thor becoming serious, well mannered avenger age ultron. inspired change thor ragnarok try make thor badass like captain america made badass captain america winter soldier. made thor escape alley seriousness sure. infinity war made real war hardened badass. bro thor endgame unexpectedly funny well made but people complained thor becoming clownish thor love thunder. back serious thor. hopefully infinity war thor. interesting time change.",1
flop king movie rule.,-1
taikai never direct another marvel movie,-1
loki trailer?!?!?!??,0
sasuke uchiha return avenger doomsday,-1
"chance, one chance make thor best version, peak thor. id like see thor true strength odin force",1
always one enemy. make money.,-1
thrown wind bob crash out.,0
prime thor back,0
getting rune king thor,0
thor crying?,-1
happened eye?? didnt lost one already?? seam two,1
"tony stark dr. doom another universe, reaction avengers?",-1
thor must return immigrant song doomsday,-1
please dont let thor loki die...,1
mr beast return avenger doomsday,-1
"please, god, hear words.",1
27th january 2026 10 month 20 day doomsday,-1
"marvel pleaseeee....dont make thor comedy material anymore!!!! want badass version thor...a serious version, not comedian version",1
"swear everything thor dy dont know, but better not die.",1
think first thor movie best four got him. really think kinda drama serious thor gotten later installment him.,1
thor kratos avenger doomsday,-1
mom return avenger doomsday,-1
john 146 way truth life no one come father except me. cant trust lord commit life put faith job done cross but grace not licence sinning free u form spiritual death punishment sin christ lord hope already 2 corinthian 129 grace sufficient power made perfect weakness,1
,0
anyone else thinking may not thor thor but different thor he dressed like infinity war thor not thor look love thunder could actually flashback infinity war thor giving speech strike thanos but edited way make look like he talking daughter,1
omg cool,1
please father heed word look like thor scared feel kind worry next enemy. thor definitely mature heroe doomsday.,-1
fav,0
thank god not played joke anymore.,1
definitely going mess lot character doom starks face. man restored universe different way.,0
yes,1
rune king thor??,0
"kind never knew? grew luxurious palace loving mom, certain point brother close to, adored friends.",1
"i, many others truly loved eternals, want back whether avenger doomsday disney series cast. movie may not pleased everyone, but u connected want much more. anyone awake reality, not trapped illusion imposed matrix, understood film, depth, themes, courage. eternals wasnt made everyone thats exactly mattered. kevin feige, please us.",1
25th january 2026 11 month 22 day doomsday,-1
version thor odin always wanted,0
want hear word infinity aura bring doom,-1
thor dog thunderpaw ????,0
let guess super bowl longer trailer,1
thinking ai video ..,0
let hope time go head,1
knull end,0
ethan hunt return avengersdoomsday,0
trailer viewed compared doomsday trailers... thor,-1
could thor could lost power seen avenger doomsday teaser begging strength save child loki could come back could loki gonna absolutely crazy,-1
ik random but would dope came end movie cliffhanger,0
he gonna die.,-1
115 time clock movie come later year give good chills.,1
please father head word dawg got war ready,-1
please make sure show strength aligned power etc thor thunder strike real fast indirectly super speed teleportation maybe cut super speed,1
really want wanda doomsday,-1
finally serious thor,-1
,0
powerful,1
thanos truly inevitable marvel jesus foreshadowing deadpools role secret war loki false demiurge stripped away free doomstark lost timeline morgan he pissed captain america created flash point paradox still soul stone time heist undone thor unknowingly possession odin force since ragnarok,-1
rip thor doomsday,-1
finally theyre not making thor joke,1
doom menace even god praying!,-1
"seems like every hero returning, thanos must return lol...",1
"gonna super watched cinema. baku,azerbaijan. rauf abbasov adaml, 24 yanvar saat 0117da yazdm bunu.",1
john cena return avenger doomsday,-1
"there ryan renolds, imma boycott movie!!!!",-1
dr doom done order make thor pray father thor power bruh,1
"thor main plot mcu daddy issues, yall actin surprised he praying him??? god praying daddy also god aint crazy",1
"yall making big deal god praying daddy, also god.",1
thor remove beard long hair guy know right,0
loki x thor,0
loki x thor,0
something tell thor end dr doom,-1
time go head thor,0
"sound thunder 035 sound danger incoming. peace captain america, strength thor, x men, hope black panther f4.. erased doomsday!!!",1
22nd january 2026 10 month 25 day doomsday,-1
goddamn epic,-1
long step thor lebowski endgame.,0
legit forgot adopted girl end last movie.,0
alguien habla espaol?,0
well see actual lord thunder,0
love chris get display acting chops. like jokey thor but love serious thor.,1
peak peak peak,0
angelcampos1083 return avenger doomsday,-1
wait worth,1
definitely goin see rune king thor,1
"father thor look serious, kill anyone stand way",-1
r watching today ???,0
21st january 2026 10 month 26 day doomsday,-1
man everyones got kid,0
make badass stoic not walking comedy show pleasethey going doom lol nobody joking around movie,-1
father god,0
ai,0
love thor stay strong believe son oden brother loki,1
"glitch teaser codes, coutdown end february 17th theory simple let take first teaser example released december 23, 1223 expressed monthday, added code 124 expressed monthday, result 217, february 17th. let take third teaser another example released january 6, 106 expressed monthday, added code 111 expressed monthday, result 217, february 17th. let take fourth reel dedicated thanking viewer view four teaser released january 16, 116 expressed monthday, added code 101 expressed monthday, result 217, february 17th. result constant always come 217 essentially february 17th! try teaser released always remain 217. im convinced doomsday trailer released february 17th, endgame time play theory doesnt make sense all! e ber glitch make code visible not visible ambiguity character appear reel instagram account us, marvel, rdj russo brothers. character glitch instagram account marvel e not appear but bre appears would dicembre italian english would dicembre. character glitch vary reel account marvel fr france, marvel de germany, marvel brazil... check! 02 time... january made 31 days, date publication post post code 216 .. ok, but remember reel published 1000pm 1000pm 02 1200pm 2 16 1200pm therefore 2 17 0000am!",1
"marvel want create highest grossing movie time. know, know",1
"touching, father daughter, feel",0
god good... im actually tears... time ever seriously say thor worthy,1
one minute scene better entirety love thunder.,1
thor back ragnarok look,0
goosebump,0
still best one far. way talk poetic full foreboding.,1
anyone think hed make great kratos? think,1
"1e 24ber 0 2020 first cause. december 24, world entered zero. year ready.",0
"realized something, still prosthetic eye socket time? honestly kinda forgot watching",1
112 codes?,0
"so, thats thor crying.",-1
cest mal faite,0
need rune king thor!,0
hawkeye must return please bring back even secret war,1
thor odinson protector mankind ride meet fate destiny awaits,1
thor isnt scared anything anyone not even thanos,-1
done annihilation war. avenger boring terrestrial marvel small.,-1
"suspense killing right now, oh man cant wait",-1
shangchi nyana? boma moon knight?,0
need let thor true power,1
1e 17ber 0 2020 mean opinion exact 1 hour 17 minute avenger endgame balck widow hawkeye vormir hawkeye lose best friend black winter maybe trailer thor lose love like hawkeye,1
,0
score!,0
hope guy get another best entry like infinity war entry,1
loki?,0
kratos? you?,0
"hello marvel, big fan marvel studios, favorite character thor. also big fan chris hemsworth pakistan . want send message, although dont know okay contact way. reason heard place thor might die avenger doomsday avenger secret wars. true? true, please dont this, thor mean lot u fans. thor dies, happen u fans? also, thor 5 still expected. please consider message. thank you.",1
"wait, happened east asian actor marvel bet house on?",1
thor weve missing 3 4 movie now. serious one.,-1
james bond return avenger doomsday,-1
wack,0
thor know love.,1
thor going die?,0
somebody saw 1e 17ber 02020??? whats mean?,0
"thor, god hammers? please odin, grant odin force power rune fight one last time thunder not lighting sparkles.",1
bring doom,-1
youre solo tanking thor rival,0
watiki era thor,0
"this, version thor ive always wanted see",0
search google everything marvel 1172020. appears briefly end trailer.,1
ex return avenger doomsday december 18 2026,-1
didnt lost eye?,1
"return home her, not warrior, but warmth. teach not battle, but stillness.",1
whats hidden detail ? anyone find out?,0
finally real thor ! god! not kid,1
thought he praying jesus,1
"thor be! serious, dramatic, leader sacrifice everything, strongest protector.give full high power deserves",1
god thunder asking strength know terrible happen.....,1
charlie kirk return doomsday,-1
"avenger no longer title team assembled 2012, title represents hero marvel whole.",1
sun shine u loki,0
got avenger doomsday gta 6,-1
thor prince thunder!!!!!!!!,0
new avenger doomsday trailer feel ai generated,-1
gonna 4 hour movie,0
thor acting like kratos rn,1
coming bday aaaaaaaaaa,0
he got infinity war haircut!!,-1
throwing theory there. anyone catch note end trailer say thor return... single note. trailer played theme multiple note like xmen trailer. thor final battle foreshadowing?,1
one eye?,0
please listen creator ive watching movie since childhood im 20 year old. request fan please include hulk avenger doomsday.,-1
"please love god marvel bring back serious thor. better character actually act like god thunder rather holeinthewall comedian. bring back seriousness avenger whole. well placed, well timed joke fine, but seen thing go way far. want like product again.",1
please dont make fun whole movie like last few.,1
agree real continuation thor character development thor love thunder not canon?,1
audience reaction,0
no one actually excited movie. bot,1
movie flop every real marvel fan know,1
"see thor praying, know battle epic.",0
"lend strength allfathers, may fight",1
"thor praying?!?!? oh russos made doom, doom!",-1
"thor asks help, must doom done him.",0
"finally know, thor cry",-1
wheres guardian galaxy?,0
doom take away power he unworthy thor rn.,-1
"steve rogers return doomsday not captain america maybe he doom defending new timeline son captain hydra maybe hydra top order leading captain hydra thor hammer defending timeline, worthy maybe still infinity stone bigger threat thanos maybe think thanos right maybe another philosophy maybe doom one remaining variant tony stark rest variant systematically killed every variant doctor strange saw doom decided get multiverse variant doom killed mind not minding brain not braining imagination not imaginationing expectation not expectationing",-1
"lord loki return avenger doomsday theater december 18, 2026",-1
"thor becoming potentially face marvel absolute blast character arc ragnarok movie whole, role infinity war sight see. endgame shined much like rest, but going yet another important character arc. everything come together love thunder, but much like mcu endgame except spidey gotg lackluster poor attempt reusing absolutely overused formula, everything ragnarok but absolutely worst lackluster. hopefully, thor able come around character time, less ragnarok formula, semented legend, back yo badass god thunder thor",1
yes doomed,-1
17th january 2026 11 month doomsday,-1
ye ek minute ke teaser de kar snyder cut ki copy kar ho kahi chhod salo sharam nai ati,-1
didnt know son. really need watch 4th movie. he favorite avenger. im slacking.,1
beginning secret wars?,0
literal god thunder praying odin defeat crazy mortal man good knowledge science magic diabolical,1
17m views..hype not like,-1
nah know serious theyre bringing back prime thor,-1
113 seems sort code,0
idk cried,-1
even thanos wasnt getting much aura,0
frozen,0
eye come back,0
thor crying?,-1
please give u rune king thor,1
mighty thor!!,0
time need thor finishing move,0
teach kid battle time peace prepared upcoming threats.,0
113 anyone noticed code?,0
"miss jeremy renner even sam simple human, but still leadership purpose kept him...!! not hawkeye",-1
112,0
boutta die. maybe not doomsday but def secret wars.,-1
going crazy,-1
let hope stop drinking movie. lol really screwed character up.,1
yay thor not plucky idiot again!!! taika waititi good riddance!,1
thor,0
omg garbage,0
,0
"every time thor prays desperate return infinite power, he going steal spotlight sure time!",-1
everything thanks blade movies!,1
"please dont kill uy yet movie, make 5th movie him!",1
,0
dear marvel plz dont ruin thor character really waiting combeback like infinity war,1
"og thor, let go",0
question thor crying?,-1
deadpool die avenger doomsday guy cry beside,-1
thor best character,1
getting back thor want brother sister,1
god thunder sick,-1
thought fake.,-1
odin answer prayers. odin transitioned valhalla. come back will. hope father give power make father.,1
"kratos looking different, new haircut?",0
trailer written chatgpt now?,0
first child magni first wife jrnsaxa. modi thrud second last wife sif. magni mode wielding mjllnir ragnark thor died.,-1
man praying opportunity fight,1
look sparkle !!!!!,1
wait deadpool asked thor crying? ?????? saw ??,0
,0
thor praying not mean he weak. mean accepts may not return ready give everything know power alone not save them. thats make doctor doom dangerous,-1
,0
thor return avenger doomsday,-1
guess threat leaving kept making character comedy relief character really worked,1
odinson,0
"chills, literal chills.",0
oh gees...what...a super thanos?,1
"father.. life answered every call. honor duty war. but fate given something never sought. child.. life untouched storm. lend strength fathers.. may fight more, defeat one more.. enemy, return not warrior but warmth. teach not battle.. but stillness, kind never knew. please father head words.",-1
peak thor back avenger doomsday,-1
prediction thor die avenger doomsday next thor movie daughter course movie wouldnt name thor though,-1
"so, safe say comical thor awful idea.",0
serious thor mean butt get kicked,-1
people internet given depth market research sense wittiness u incredible,0
"movie cross 2b box office. wil biggest flop ever, considering immense cast",-1
prediction tony stark return iron man face doctor doom avenger doomsday secret wars. would ultimate battle genius v geniustechnology dark power.,-1
"thor already battleworld teaser, could prayer make every time battle doom planet. reason id think would thor know strong doom doom film manipulative undercover type villain. im not thinking hero aware mo end ladder half film.",-1
movie going storyteller. every character telling stories. probably no action scenes.,-1
boo hoo,0
,0
,0
nice see not joke thor,1
give kratos vibe,0
"return home her, not warrior, but warmth. thats abyss deep right there..",1
